Motivo,Fonte,Validação,Páginas
Página com redirecionamento,Site,Não foi iniciado,1
"Detectada, mas não indexada no momento",Sistemas do Google,Não foi iniciado,6
Página alternativa com tag canônica adequada,Site,N/D,0
"Rastreada, mas não indexada no momento",Sistemas do Google,N/D,0
