Data,Cliques,Impressões,CTR,Posição
2026-09-03,0,0,,
2026-09-04,0,0,,
2026-09-05,0,9,0%,9.2
2026-09-06,1,20,5%,14.4
2026-09-07,0,7,0%,34.6
2026-09-08,0,13,0%,9.2
2026-09-09,0,15,0%,14.5
