Data,Não indexadas,Indexados,Impressões
2026-09-02,,,0
2026-09-03,1,9,0
2026-09-04,5,17,9
2026-09-05,5,17,20
2026-09-06,5,17,7
2026-09-07,5,17,13
2026-09-08,5,17,15
2026-09-09,5,17,5
2026-09-10,5,17,9
2026-09-11,5,17,8
2026-09-12,5,17,18
2026-09-13,5,17,28
