País,Cliques,Impressões,CTR,Posição
Brasil,1,121,0.83%,14.57
Estados Unidos,0,5,0%,4.8
Chile,0,1,0%,2
Itália,0,1,0%,2
Portugal,0,1,0%,8
Indonésia,0,1,0%,46
França,0,1,0%,54
Reino Unido,0,1,0%,57
