Data,Páginas afetadas
2026-09-03,9
2026-09-04,17
2026-09-05,17
2026-09-06,17
2026-09-07,17
2026-09-08,17
2026-09-09,17
2026-09-10,17
2026-09-11,17
2026-09-12,17
2026-09-13,17
